date,weekdays,sleep_starts,sleep_ends,sleep_duration_min,light_sleep_min,rem_sleep_min,deep_sleep_min,readiness,sleep_score,activity_score,steps
6/15/20,Monday,10:36:00 PM,7:21:00 AM,463,262,108,92,90,85,76,7028
6/16/20,Tuesday,9:41:00 PM,5:50:00 AM,436,317,66,53,83,73,64,4642
6/17/20,Wednesday,9:42:00 PM,5:51:00 AM,436,246,99,91,87,80,73,11056
6/18/20,Thursday,10:31:00 PM,7:32:00 AM,462,269,101,92,78,85,83,10706
6/19/20,Friday,9:09:00 PM,5:41:00 AM,442,301,94,46,78,79,80,10253
6/20/20,Saturday,10:22:00 PM,7:19:00 AM,469,320,79,69,86,79,78,8843
6/21/20,Sunday,10:50:00 PM,8:15:00 AM,470,268,87,114,90,83,81,10661
6/22/20,Monday,10:11:00 PM,5:55:00 AM,386,221,68,96,84,74,80,9041
6/23/20,Tuesday,10:08:00 PM,5:56:00 AM,401,226,59,116,84,77,84,8288
6/24/20,Wednesday,11:36:00 PM,5:58:00 AM,292,214,35,42,64,57,81,6977
6/25/20,Thursday,9:55:00 PM,7:22:00 AM,469,301,90,78,83,82,84,6539
6/26/20,Friday,9:00:00 PM,5:37:00 AM,471,310,105,55,73,84,75,3426
6/27/20,Saturday,10:08:00 PM,8:14:00 AM,531,315,134,82,84,89,80,9654
6/28/20,Sunday,9:39:00 PM,8:28:00 AM,549,331,118,99,93,90,83,12369
6/29/20,Monday,10:11:00 PM,6:02:00 AM,418,271,88,58,86,75,79,8127
6/30/20,Tuesday,9:06:00 PM,5:12:00 AM,427,237,104,85,87,82,73,6224
7/1/20,Wednesday,9:36:00 PM,6:16:00 AM,421,238,83,100,88,78,73,9791
7/2/20,Thursday,9:31:00 PM,6:12:00 AM,454,298,87,69,86,79,76,11798
7/3/20,Friday,10:49:00 PM,7:32:00 AM,452,258,103,90,86,83,77,9862
7/4/20,Saturday,11:15:00 PM,8:16:00 AM,442,258,96,87,87,79,77,6302
7/5/20,Sunday,12:09:00 AM,8:35:00 AM,409,215,99,94,84,73,77,5499
7/6/20,Monday,10:25:00 PM,5:52:00 AM,402,205,72,124,86,78,74,3395
7/7/20,Tuesday,10:09:00 PM,5:47:00 AM,384,243,84,56,79,72,69,7854
7/9/20,Thursday,10:16:00 PM,6:04:00 AM,398,222,61,114,84,73,54,8144
7/10/20,Friday,10:17:00 PM,7:25:00 AM,483,321,106,55,80,80,74,20620
7/11/20,Saturday,9:44:00 PM,7:10:00 AM,505,313,109,83,80,90,72,9632
7/12/20,Sunday,10:37:00 PM,8:14:00 AM,508,333,113,62,88,83,76,11840
7/13/20,Monday,9:45:00 PM,6:16:00 AM,437,267,90,79,86,80,74,8750
7/14/20,Tuesday,9:45:00 PM,6:03:00 AM,440,240,79,121,88,82,74,6868
7/15/20,Wednesday,9:59:00 PM,6:14:00 AM,449,267,91,90,90,82,79,7617
7/16/20,Thursday,10:41:00 PM,5:56:00 AM,376,193,72,110,83,75,80,9849
7/17/20,Friday,9:19:00 PM,6:00:00 AM,465,254,106,105,91,88,74,9219
7/18/20,Saturday,10:50:00 PM,6:39:00 AM,400,246,76,78,81,75,82,12470
7/19/20,Sunday,10:22:00 PM,9:00:00 AM,525,299,116,110,92,90,89,14455
7/20/20,Monday,9:57:00 PM,6:06:00 AM,408,309,87,12,76,68,83,10757
7/21/20,Tuesday,10:20:00 PM,6:13:00 AM,371,246,74,50,75,67,88,8274
7/22/20,Wednesday,9:52:00 PM,6:13:00 AM,435,249,87,99,84,81,90,7462
7/23/20,Thursday,10:03:00 PM,5:36:00 AM,391,221,84,85,79,76,86,8341
7/24/20,Friday,9:55:00 PM,6:19:00 AM,441,279,108,54,79,79,97,28120
7/25/20,Saturday,10:54:00 PM,7:46:00 AM,454,304,110,40,55,78,95,6449
7/26/20,Sunday,10:46:00 PM,8:08:00 AM,477,274,121,81,75,81,94,12154
7/27/20,Monday,10:09:00 PM,6:02:00 AM,412,258,83,70,76,78,84,6342
7/28/20,Tuesday,10:06:00 PM,7:52:00 AM,505,285,124,96,87,86,84,8157
7/29/20,Wednesday,9:43:00 PM,5:39:00 AM,424,291,57,76,80,75,84,7000
7/30/20,Thursday,9:42:00 PM,6:07:00 AM,447,273,100,73,82,80,83,7869
7/31/20,Friday,10:33:00 PM,6:06:00 AM,393,247,71,74,80,74,70,8836
8/3/20,Monday,10:32:00 PM,6:10:00 AM,406,258,72,75,78,75,68,9729
8/4/20,Tuesday,9:48:00 PM,6:12:00 AM,439,275,83,81,77,79,66,7819
8/5/20,Wednesday,10:26:00 PM,6:22:00 AM,411,249,79,82,84,78,68,10238
8/6/20,Thursday,9:18:00 PM,5:45:00 AM,444,256,110,78,85,83,63,9419
8/7/20,Friday,9:49:00 PM,6:05:00 AM,451,321,114,16,79,75,73,10239
8/8/20,Saturday,10:28:00 PM,7:00:00 AM,459,291,119,48,60,81,80,8257
8/9/20,Sunday,9:10:00 PM,7:30:00 AM,558,274,177,106,91,94,79,11096
8/10/20,Monday,10:17:00 PM,6:08:00 AM,433,230,107,95,87,82,77,7734
8/11/20,Tuesday,10:15:00 PM,6:06:00 AM,441,266,82,93,85,80,77,6228
8/12/20,Wednesday,10:08:00 PM,7:18:00 AM,476,274,106,96,89,87,76,6840
8/14/20,Friday,9:14:00 PM,6:16:00 AM,496,322,93,81,90,84,79,24261
8/15/20,Saturday,11:01:00 PM,7:11:00 AM,422,317,76,28,62,69,82,12594
8/16/20,Sunday,10:44:00 PM,7:43:00 AM,472,270,107,94,83,85,80,8997
8/17/20,Monday,10:07:00 PM,6:11:00 AM,429,286,64,78,86,80,78,4891
8/18/20,Tuesday,10:03:00 PM,6:09:00 AM,420,303,84,32,75,69,78,9239
8/19/20,Wednesday,10:08:00 PM,6:34:00 AM,434,280,88,66,86,78,79,9497
8/20/20,Thursday,9:18:00 PM,6:20:00 AM,493,279,101,113,92,89,80,8918
8/21/20,Friday,9:44:00 PM,6:15:00 AM,434,249,87,97,87,77,72,9029
8/22/20,Saturday,10:45:00 PM,7:12:00 AM,448,270,96,82,88,79,76,16018
8/23/20,Sunday,9:46:00 PM,7:19:00 AM,498,307,104,86,81,88,85,12608
8/24/20,Monday,9:20:00 PM,6:10:00 AM,431,264,76,91,85,79,81,11360
8/25/20,Tuesday,9:52:00 PM,6:01:00 AM,423,317,60,45,80,72,82,8554
8/26/20,Wednesday,9:17:00 PM,6:10:00 AM,435,253,84,98,83,73,78,7806
8/27/20,Thursday,9:48:00 PM,7:19:00 AM,502,319,91,91,90,86,80,2594
8/28/20,Friday,10:00:00 PM,6:23:00 AM,455,253,101,100,89,86,83,9460
8/29/20,Saturday,10:07:00 PM,6:53:00 AM,445,291,92,61,83,77,81,1299
8/30/20,Sunday,8:51:00 PM,7:47:00 AM,507,313,124,69,83,75,77,8014
8/31/20,Monday,8:49:00 PM,6:01:00 AM,504,303,107,93,90,90,69,7800
9/1/20,Tuesday,9:18:00 PM,6:01:00 AM,452,272,100,80,91,82,66,8539
9/2/20,Wednesday,9:11:00 PM,6:10:00 AM,468,335,68,64,88,78,68,8506
9/4/20,Friday,10:29:00 PM,6:12:00 AM,419,249,65,105,83,77,78,18795
9/5/20,Saturday,9:23:00 PM,7:37:00 AM,453,275,100,77,69,69,78,9484
9/6/20,Sunday,10:25:00 PM,7:25:00 AM,457,274,101,82,84,83,86,14638
9/7/20,Monday,9:35:00 PM,8:09:00 AM,544,340,127,76,72,82,93,10988
9/8/20,Tuesday,9:55:00 PM,5:59:00 AM,428,338,46,43,84,71,89,8009
9/9/20,Wednesday,9:06:00 PM,6:12:00 AM,490,329,96,65,90,82,91,9592
9/10/20,Thursday,9:09:00 PM,6:20:00 AM,442,254,116,72,89,80,88,10953
9/11/20,Friday,10:29:00 PM,6:11:00 AM,425,255,73,97,87,79,90,13938
9/12/20,Saturday,11:30:00 PM,8:00:00 AM,447,267,91,88,86,82,88,11725
9/13/20,Sunday,10:28:00 PM,8:02:00 AM,495,240,151,104,88,86,83,10906
9/15/20,Tuesday,9:21:00 PM,6:15:00 AM,473,297,89,87,87,81,77,8864
9/16/20,Wednesday,9:39:00 PM,6:10:00 AM,446,283,94,68,80,79,72,7201
9/20/20,Sunday,10:22:00 PM,7:43:00 AM,473,277,106,90,88,80,61,8090
9/21/20,Monday,9:27:00 PM,6:13:00 AM,456,275,99,81,88,80,71,14152
9/22/20,Tuesday,8:51:00 PM,7:49:00 AM,570,378,132,60,81,89,69,6501
9/23/20,Wednesday,10:12:00 PM,6:09:00 AM,409,237,80,91,81,77,69,4452
9/24/20,Thursday,10:28:00 PM,6:14:00 AM,417,283,79,55,82,74,69,6970
9/25/20,Friday,9:00:00 PM,5:42:00 AM,445,294,100,50,81,77,68,10329
9/27/20,Sunday,10:46:00 PM,8:11:00 AM,477,301,90,86,72,77,84,10458
9/28/20,Monday,11:41:00 PM,8:36:00 AM,473,317,98,57,64,77,86,7617
9/29/20,Tuesday,9:44:00 PM,7:15:00 AM,417,265,90,61,75,75,86,9392
9/30/20,Wednesday,9:02:00 PM,6:58:00 AM,472,311,80,80,85,78,85,9621
10/1/20,Thursday,9:02:00 PM,5:54:00 AM,458,307,78,73,85,79,91,11199
10/2/20,Friday,9:56:00 PM,6:15:00 AM,434,255,76,103,73,80,88,9889
10/3/20,Saturday,9:51:00 PM,7:23:00 AM,503,278,141,83,87,87,89,14247
10/4/20,Sunday,10:17:00 PM,8:29:00 AM,545,315,144,86,92,89,84,7309
10/6/20,Tuesday,10:01:00 PM,6:03:00 AM,435,292,66,77,81,77,84,7972
10/7/20,Wednesday,9:36:00 PM,6:19:00 AM,469,304,105,59,86,84,86,9306
10/8/20,Thursday,9:34:00 PM,8:03:00 AM,559,388,118,53,93,85,89,11548
10/9/20,Friday,8:55:00 PM,6:18:00 AM,502,305,116,81,91,87,81,7187
10/10/20,Saturday,10:06:00 PM,7:09:00 AM,488,325,90,72,92,85,86,14536
10/11/20,Sunday,11:01:00 PM,8:25:00 AM,468,265,102,100,89,80,88,4958
10/12/20,Monday,9:54:00 PM,6:02:00 AM,452,267,80,105,87,82,82,9951
10/13/20,Tuesday,9:05:00 PM,6:16:00 AM,483,292,84,107,93,83,80,8679
10/14/20,Wednesday,9:36:00 PM,6:19:00 AM,456,295,69,92,86,80,81,8559
10/15/20,Thursday,8:55:00 PM,7:53:00 AM,561,382,109,70,96,88,78,9288
10/16/20,Friday,10:50:00 PM,6:22:00 AM,391,199,77,114,88,73,83,11815
10/17/20,Saturday,10:28:00 PM,7:57:00 AM,494,314,96,83,84,84,80,8414
10/19/20,Monday,9:40:00 PM,5:50:00 AM,417,256,68,93,87,76,77,7822
10/20/20,Tuesday,9:38:00 PM,7:12:00 AM,488,305,84,98,93,83,75,12452
10/21/20,Wednesday,9:41:00 PM,6:19:00 AM,457,254,97,105,92,84,82,15611
10/22/20,Thursday,9:42:00 PM,5:54:00 AM,439,253,83,102,80,80,84,10401
10/23/20,Friday,9:37:00 PM,6:10:00 AM,443,293,86,63,80,79,81,12020
10/25/20,Sunday,8:21:00 PM,6:57:00 AM,573,315,119,138,93,83,79,12255
10/26/20,Monday,10:38:00 PM,5:46:00 AM,359,209,62,88,79,70,73,8151
10/27/20,Tuesday,9:59:00 PM,5:59:00 AM,420,253,69,87,86,77,89,11071
10/28/20,Wednesday,9:36:00 PM,5:51:00 AM,419,255,89,74,75,77,91,10269
10/29/20,Thursday,10:07:00 PM,6:46:00 AM,464,276,86,102,89,83,91,13918
10/30/20,Friday,8:58:00 PM,5:49:00 AM,459,249,72,138,87,82,80,5244
10/31/20,Saturday,11:32:00 PM,5:57:00 AM,330,194,62,74,73,66,92,11176
11/1/20,Sunday,8:13:00 PM,8:53:00 AM,540,321,162,57,75,82,99,16842
11/2/20,Monday,10:43:00 PM,6:38:00 AM,411,209,91,110,81,79,95,9263
11/3/20,Tuesday,9:52:00 PM,5:35:00 AM,436,257,69,109,84,79,95,11541
11/4/20,Wednesday,9:37:00 PM,5:29:00 AM,424,287,71,65,77,77,88,8972
11/5/20,Thursday,10:08:00 PM,6:08:00 AM,431,243,77,111,85,82,85,5933
11/6/20,Friday,9:22:00 PM,5:57:00 AM,432,255,79,98,82,80,90,7136
11/7/20,Saturday,10:29:00 PM,7:02:00 AM,446,285,73,88,84,80,89,10571
11/11/20,Wednesday,9:25:00 PM,6:03:00 AM,459,269,97,92,88,81,76,7116
11/12/20,Thursday,9:22:00 PM,5:54:00 AM,426,262,73,90,83,72,85,14920
11/13/20,Friday,9:52:00 PM,5:54:00 AM,427,242,84,101,77,81,80,5177
11/14/20,Saturday,10:27:00 PM,7:41:00 AM,461,299,103,58,81,79,82,11424
11/15/20,Sunday,9:56:00 PM,7:09:00 AM,467,269,102,96,82,84,89,18917
11/16/20,Monday,9:22:00 PM,6:01:00 AM,421,237,83,101,72,77,85,7357
11/17/20,Tuesday,10:47:00 PM,6:09:00 AM,381,238,86,56,76,70,85,4592
11/18/20,Wednesday,9:58:00 PM,6:01:00 AM,434,246,96,92,84,79,88,10673
11/19/20,Thursday,10:30:00 PM,7:06:00 AM,440,228,97,114,83,82,91,15995
11/20/20,Friday,9:27:00 PM,6:01:00 AM,463,259,104,99,78,86,92,13211
11/21/20,Saturday,11:07:00 PM,8:06:00 AM,451,266,95,89,74,81,95,12398
11/22/20,Sunday,7:03:00 PM,7:22:00 AM,641,405,159,77,91,90,85,13290
11/23/20,Monday,10:17:00 PM,7:18:00 AM,473,280,91,101,91,85,83,9410
11/24/20,Tuesday,10:01:00 PM,6:00:00 AM,407,232,79,96,87,75,93,11844
11/25/20,Wednesday,10:24:00 PM,7:03:00 AM,440,268,100,71,74,79,94,12220
11/26/20,Thursday,10:40:00 PM,7:21:00 AM,448,229,107,111,84,85,94,12070
11/28/20,Saturday,11:09:00 PM,6:03:00 AM,369,262,61,45,73,68,91,12786
11/29/20,Sunday,10:04:00 PM,8:52:00 AM,570,359,113,98,88,90,91,15486
12/5/20,Saturday,10:06:00 PM,7:12:00 AM,482,287,112,82,80,85,80,15183
12/6/20,Sunday,9:05:00 PM,6:51:00 AM,486,331,108,47,79,81,81,15379
12/7/20,Monday,8:56:00 PM,5:44:00 AM,468,286,101,81,87,86,77,8405
12/8/20,Tuesday,9:08:00 PM,5:55:00 AM,436,230,99,106,87,81,83,10605
12/9/20,Wednesday,9:10:00 PM,5:31:00 AM,453,267,96,89,83,82,86,11635
12/10/20,Thursday,10:22:00 PM,7:06:00 AM,431,228,108,95,84,82,90,8594
12/11/20,Friday,7:56:00 PM,5:47:00 AM,507,367,111,28,68,83,89,11458
12/12/20,Saturday,9:35:00 PM,7:21:00 AM,511,322,142,46,78,83,88,12642
12/13/20,Sunday,11:02:00 PM,7:29:00 AM,448,245,99,103,87,83,80,3469
12/14/20,Monday,10:02:00 PM,6:29:00 AM,381,238,86,56,76,70,85,4592
12/15/20,Tuesday,10:24:00 PM,5:29:00 AM,434,246,96,92,84,79,88,10673
12/16/20,Wednesday,9:02:00 PM,5:40:00 AM,440,228,97,114,83,82,91,15995
12/17/20,Thursday,9:30:00 PM,5:50:00 AM,463,259,104,99,78,86,92,13211
12/18/20,Friday,10:15:00 PM,7:29:00 AM,451,266,95,89,74,81,95,12398
12/19/20,Saturday,11:40:00 PM,7:29:00 AM,641,405,159,77,91,90,85,13290
12/20/20,Sunday,10:02:00 PM,7:45:00 AM,473,280,91,101,91,85,83,9410
12/21/20,Monday,1:32:00 AM,7:38:00 AM,407,232,79,96,87,75,93,11844
12/23/20,Tuesday,11:02:00 PM,7:59:00 AM,440,268,100,71,74,79,94,12220
12/22/20,Wednesday,11:02:00 PM,7:29:00 AM,448,229,107,111,84,85,94,12070
12/24/20,Thursday,10:58:00 PM,5:48:00 AM,352,241,43,67,72,69,62,12103
12/25/20,Friday,10:22:00 PM,8:58:00 AM,489,282,123,84,70,79,66,5453
12/26/20,Saturday,10:40:00 PM,7:00:00 AM,438,233,87,117,80,82,81,13256
12/28/20,Monday,9:52:00 PM,6:01:00 AM,429,263,70,96,82,77,86,10930
12/29/20,Tuesday,8:36:00 PM,5:50:00 AM,484,309,83,91,88,82,87,9723
1/2/21,Saturday,11:20:00 PM,9:20:00 AM,491,290,106,95,93,81,78,8196
1/3/21,Sunday,10:20:00 PM,6:54:00 AM,455,286,72,96,88,81,77,10401
1/4/21,Monday,9:27:00 PM,5:54:00 AM,456,267,88,101,88,83,71,11944
1/5/21,Tuesday,9:27:00 PM,5:50:00 AM,443,284,80,78,85,80,68,5150
1/6/21,Wednesday,9:38:00 PM,5:48:00 AM,438,269,95,73,93,82,73,12009
1/7/21,Thursday,9:42:00 PM,5:54:00 AM,458,313,88,57,86,81,69,11463
1/8/21,Friday,9:48:00 PM,5:56:00 AM,433,228,95,109,89,83,71,12887
1/9/21,Saturday,9:49:00 PM,6:05:00 AM,425,231,85,109,83,79,77,17971
1/10/21,Sunday,10:55:00 PM,7:56:00 AM,465,263,99,103,84,81,79,12325
1/11/21,Monday,9:16:00 PM,5:44:00 AM,456,292,57,106,87,79,73,8145
1/12/21,Tuesday,7:51:00 PM,5:37:00 AM,531,315,125,91,94,92,81,8840
1/13/21,Wednesday,9:49:00 PM,6:01:00 AM,438,268,108,62,86,78,87,11467
1/14/21,Thursday,10:05:00 PM,5:55:00 AM,410,260,49,100,85,73,92,16021
1/15/21,Friday,9:47:00 PM,7:24:00 AM,508,356,85,56,83,80,94,11281
1/16/21,Saturday,10:42:00 PM,8:58:00 AM,512,311,127,73,79,83,95,15942
1/17/21,Sunday,10:15:00 PM,6:59:00 AM,450,261,66,123,88,80,92,18426
1/18/21,Monday,9:50:00 PM,7:15:00 AM,490,251,114,124,91,87,90,11794
1/19/21,Tuesday,9:00:00 PM,5:49:00 AM,461,259,105,97,87,85,81,9360
1/20/21,Wednesday,9:55:00 PM,5:42:00 AM,376,264,63,48,77,67,93,3977
1/26/21,Tuesday,8:42:00 PM,6:04:00 AM,480,282,109,89,84,88,62,10314
1/27/21,Wednesday,9:29:00 PM,7:01:00 AM,488,289,98,100,85,84,71,11977
1/28/21,Thursday,10:26:00 PM,6:53:00 AM,423,261,82,80,85,77,76,9111
1/29/21,Friday,9:31:00 PM,6:20:00 AM,463,263,83,116,88,85,78,10203
1/30/21,Saturday,10:08:00 PM,7:09:00 AM,452,241,101,110,88,82,79,8506
1/31/21,Sunday,10:18:00 PM,8:34:00 AM,509,311,114,84,89,85,81,11730
2/1/21,Monday,9:08:00 PM,5:17:00 AM,436,259,85,91,89,80,81,7475
2/2/21,Tuesday,10:05:00 PM,5:38:00 AM,399,244,54,101,81,75,76,7377
2/3/21,Wednesday,9:55:00 PM,5:46:00 AM,432,226,95,111,85,84,74,8525
2/4/21,Thursday,9:16:00 PM,5:53:00 AM,443,247,107,89,81,84,75,5326
2/5/21,Friday,7:44:00 PM,6:37:00 AM,554,372,124,57,86,87,78,16620
2/6/21,Saturday,11:41:00 PM,7:58:00 AM,423,278,95,49,68,75,88,12497
2/7/21,Sunday,10:07:00 PM,7:06:00 AM,463,263,104,96,85,82,93,15879
2/8/21,Monday,8:49:00 PM,5:34:00 AM,484,285,93,105,86,86,83,2219
2/9/21,Tuesday,9:04:00 PM,5:40:00 AM,452,266,83,103,87,81,81,9619
2/10/21,Wednesday,9:14:00 PM,5:37:00 AM,475,281,90,104,88,85,82,5757
2/11/21,Thursday,9:07:00 PM,7:07:00 AM,502,278,125,98,92,87,86,10728
2/12/21,Friday,9:16:00 PM,5:38:00 AM,443,262,95,85,90,82,80,9619
2/13/21,Saturday,10:01:00 PM,6:28:00 AM,445,244,105,95,85,81,82,17304
2/14/21,Sunday,10:10:00 PM,8:08:00 AM,516,296,138,82,84,87,79,9524
2/15/21,Monday,9:13:00 PM,6:39:00 AM,482,299,85,97,90,85,78,2539
2/16/21,Tuesday,9:22:00 PM,5:33:00 AM,405,293,59,52,76,69,75,9294
2/17/21,Wednesday,9:16:00 PM,5:39:00 AM,435,244,80,111,84,81,80,10464
2/18/21,Thursday,9:38:00 PM,5:31:00 AM,417,203,83,131,83,79,79,9194
2/19/21,Friday,8:50:00 PM,5:44:00 AM,473,231,126,116,85,86,77,10015
2/20/21,Saturday,10:50:00 PM,6:21:00 AM,420,260,88,69,73,78,85,11024
2/22/21,Monday,9:27:00 PM,5:30:00 AM,427,287,88,51,78,74,85,9137
2/23/21,Tuesday,8:55:00 PM,5:24:00 AM,444,306,97,41,81,76,79,9378
2/24/21,Wednesday,9:24:00 PM,6:53:00 AM,478,238,118,122,86,85,81,9698
2/27/21,Saturday,10:56:00 PM,7:02:00 AM,440,251,102,87,80,83,82,17417
2/28/21,Sunday,10:53:00 PM,7:24:00 AM,434,245,65,124,73,78,88,12695